発言ID,開催日,回次,発言順,発言者表記,発言者検索キー,発言本文,議事録URL
7609,2003-05-13,第18回,18,宮島部会長,宮島,ありがとうございました。それでは、山崎委員。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7610,2003-05-13,第18回,19,山崎委員,山崎,私のこのペーパーは「前提条件」と「対応のあり方」と二つの部分から構成されてお りますが、「対応のあり方」というのが今日のテーマでありますパートへの適用拡大と 第３号被保険者の見直しということです。私の意見の前提になっているのが「前提条件 」という最初の部分であります。 まず前提条件でありますけれども、事業主負担につきましては、企業間の負担の公平 と雇用に対する負担の中立性を確保するために、社会保険適用外の非正規労働者を含む 全従業員の賃金支払い総額を賦課標準とする賃金支払い税方式とすべきだと思います。 この場合、事業主負担は、社会保険適用の全被保険者の保険料総額に見合うものとし、 負担の総額においては現在の原則であります労使折半負担とするものとします。 次に年金業務の一元化を進めて、被保険者の資格、報酬等を一元的に管理する体制を 整えるべきだと思います。これは具体的には、社会保険庁と各共済組合の年金業務を一 元化すべきであるということであります。 それから短時間労働者の適用拡大は、専ら厚生年金が引き受けることになります。今 年度から総報酬制が導入されましたが、さらに今後短時間労働者の適用拡大を図るとす れば、厚生年金と共済年金の報酬格差が一層拡大することになります。被用者年金制度 間の負担の公平を図るためには、基礎年金の拠出金負担を報酬総額比例とすべきであり ます。 次に「対応のあり方」でありますが、自営業世帯と同様に、被用者世帯においても片 働き世帯に限定せず共働き世帯も含めて、世帯の所得は夫婦が共同で獲得したものとみ なして被用者世帯の年金の個人単位化を図ります。本来は税制との一体的な取扱いが望 ましいと考えますが、当面は社会保険に限定し、社会保険料の対象となる報酬の２分の １を配偶者に帰属させる報酬分割方式を採用します。報酬上限は報酬の実態を反映して 引き上げるべきだと思いますし、場合によれば、撤廃するということもあると思いま す。これにより、現在の第３号被保険者は、原則として第２号被保険者に移行すること になります。 次に被用者年金の保険料は、報酬に保険料率を乗じたものとします。基礎年金の保険 料は、第１号被保険者の保険料と必ずしも等しくはありませんが、実態としては限りな く近いものであり、さらに被用者世帯では本人負担分は２分の１になります。この基礎 年金の保険料に対応する報酬は、標準報酬月額ではなくて総報酬制になっておりますか ら、年間の総報酬の12分の１ということになりますが、それを報酬下限とします。報酬 下限分の最低保険料、これは基礎年金の保険料と同じということになりますが、この負 担が困難な者については、本人の申請により世帯の所得等に応じて保険料の免除を認め ます。免除期間分の追納保険料は被保険者本人の負担とするということとして、被用者 グループにあっても、最低保険料を設け、そして免除を入れるということでございま す。 この場合、被用者世帯の年金は報酬分割方式を採用しますから、夫と妻の報酬の合計 額が報酬下限の２倍以上であれば、個人の報酬としては報酬下限未満であっても、報酬 分割後は報酬下限以上になり、個人の報酬に対しては定率保険料でいいと考えます。し たがって、保険料免除の対象者は、つまり最低保険料が払えないということですが、夫 と妻の報酬の合計額が報酬下限の２倍未満である場合に限られますから、被用者世帯に おいて保険料免除の対象になる者は実際にはごく少数になると考えられます。報酬下限 以下の者については、第１号被保険者と均衡上、基礎年金のみとし、報酬比例部分は支 給しないということでございます。 私の提案は報酬分割方式とするということと、被用者世帯においても免除制度を入れ るということです。それは、その分だけ追納しなければ基礎年金が減額されるというこ と、さらに第３点として、被用者と自営業者のアンバランスといったことについては、 共通の基礎年金給付に対する保険料は、制度あるいは被用者、自営業者を問わず同一保 険料として、１階部分を１階部分らしくするということです。そして２階部分は、最低 保険料以上納めた人について報酬比例の年金がつくということが私の提案でございま す。 以上です。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7611,2003-05-13,第18回,20,宮島部会長,宮島,ありがとうございました。それでは、最後になりますが、渡辺委員、お願いいたしま す。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7612,2003-05-13,第18回,21,渡辺委員,渡辺,私は今日は３号問題だけに絞って申し上げます。３号については昭和59年財政再計算 時に相当議論して出た一つの答えでありまして、確かに17年たって時代は変わっている とはいえ、比較的よくできている制度ではないのかなという印象を持っております。 ただ、先ほどより、皆様からも発言があり、私自身もここに書いたように、公的年金 制度には自らが保険料を納め、保険納付と給付の関係をはっきりさせるべきだという意 見、そして不公平感といった問題があることも重々承知しています。そういった意味で は、今回の財政再計算で改革すべきものと考えます。 そして同時に、前回、厚生労働省から示された縮小案も含めた四つの案を見て、改め て考えますと、これ以外にはなかなかいい案がないのかなと思います。ただいずれも、 先ほど言った問題点をすべてうまくクリアーする案ではないと思わざるを得ません。と いって、ほかになかなかいい案がないというのが悩みでございます。 そこでまず第１案、いわゆる年金分割案でございますが、これは確かに、メリットも あります。収入を確保して保険料を納めてもらう考え方という意味では有効だと思いま すけれども、やはり何といっても仕組みが複雑でわかりにくいと思います。わかりやす い年金制度を目指している中で、逆行する可能性があるのかなと思います。特に、夫婦 の離婚問題、再婚、再々婚といったことも珍しくない世の中になってきましたので、こ の場合は通算措置をとることによって処理は可能でしょうが、私が懸念しているのは、 例えば生計維持関係等の問題です。わかりやすく言うと、戸籍上の妻がいながら他で同 棲しているといったような場合で、これは遺族年金のケースでこれまでも随分トラブル があったわけであります。社会保険審査会における事案として一番多い問題が戸籍上の 妻に遺族年金を渡すか、同棲している女性に渡すかといったことですので、この年金分 割案を実施すれば、同じような問題が多発する危険性があると思います。極めて煩雑で あり、問題点もあるのではないかという意味で、年金分割案は、私は採用すべきではな いと考えております。 となりますと、あと三つでございますが、負担調整案及び給付調整案はどちらかとい うと、不公平感解消といったことに力点を置いた考え方なのかなと受けとめておりま す。給付調整案は私個人として少し魅力を感じているのですが、やはり給付を減額する ことは社会保障機能、老後所得保障機能が低下すると同時に、もっとありていに言う と、免除、あるいは半額免除ということになるわけであります。変な言い方になって恐 縮ですが、免除される人というのは低所得者であり、保険料負担能力がないという定義 になっているわけでありまして、妻を中心とした３号について、あなた方は負担能力が ないから免除なんだよといったような印象を与えることは果たしていいのだろうかと思 います。そういった意味から言いますと、年金制度に対する信頼を一層揺るがすことに なりかねません。これも先ほど言った昭和59年、60年の年金改正のときの議論にもあっ たように記憶しておりますけれども、そういった免除扱いは疑問だと思います。 そういったことになりますと、負担調整案も問題点はありますが、結果としては、妻 も何らかの形で保険料を納めているという形になりますし、最も現実的だと思います。 特に負担調整の第II案は問題点もございますけれども、現実的でわかりやすい仕組みな のかなという気がしております。 しかし、今言ったように、この案もベストではありませんし、３号縮小も併用すると いった考え方もあってもいいと思います。３号問題は今度の2004年で解決すべきテーマ でありますが、今後とも女性の就業構造等々変化していくわけでありますから、私はこ の2004年改革が最後の改革というつもりでは考えておりません。今回は当然改革するに しても、また時代の状況変化によって、改めて手直ししていくという考え方でいいので はないかと思っております。 以上です。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7613,2003-05-13,第18回,22,宮島部会長,宮島,ありがとうございました。 それでは、今日を出していただきました意見書につきましては、代表の方も含めまし て、一通りご説明いただきました。ほぼ１時間10分ほどかかりましたけれども、ここで 一旦５分ほど休憩をとります。その後、意見書を出されなかった方、あるいは出された けれども、代表されて説明されたので発言する機会がなかった方を含めまして、ご自由 に議論をしていただきたいと思いますので、いろいろ論点をお考えいただければと思い ます。 それでは、５分ほど休憩をとります。 （休憩）,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7614,2003-05-13,第18回,23,宮島部会長,宮島,それでは議事を再開いたします。 前回事務局から説明のありましたいくつかの案や今日の各委員の意見につきまして、 意見交換を行いたいと考えております。私は、意見を聞いておりまして、これほど意見 が分かれるということは相当なものだなという印象がまずございました。ただ、お聞き しておりますと、かなり長い先を見たり、あるいは理念形としての年金制度を描きつつ も、16年の年金改革ではこういった改革をすべきというような、二段階に分けて考えて おる方が多かったという印象がございます。 また、厚生労働省からいろいろな説明があった案も含めて、制度自身の、公平感であ りますとか、雇用形態に対する中立性ですとか、あるいは制度の簡素さといったような 観点から評価をしていただいたわけですが、その力点の置き方はいろいろご意見の違い があったと思います。 もう一つ、聞いていて一番印象的でしたのは、制度が雇用であれ、家族であれ、それ らにどういう影響を及ぼしていくのかという、むしろ制度の誘導的な側面についていろ いろ関心の違いがあるという気もしたことです。 そういうことで、非常に評価が分かれておりますが、前回の説明と今回のご意見をも とにいたしまして、さらに理解を深めるといいますか、逆に違いを再認識するというこ とになるかもしれませんけれども、これから意見交換をしていきたいと思います。 今日意見書を提出されなかった方でぜひ発言をしたいという方がいれば、まずその方 から発言をいただいた後、先程の説明以外に補足説明をしたい方がいらっしゃれば、そ れも伺っておきたいと思います。いかがでございましょうか。それでは、神代委員か ら、どうぞ。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7615,2003-05-13,第18回,24,神代部会長代理,神代,前回、「雇用と年金研究会」の報告をしており、ある意味で当事者ですので、短時間 雇用に関してはあえて意見を提出しませんでしたが、３号について若干申し上げます。 年金分割という考え方が出ているのですが、何人かの方が付言しておられましたよう に、これは突き詰めていきますと、２分２乗方式、あるいはＮ分Ｎ乗方式というものに 行き着かざるを得ない問題を当然に内包しております。そうなりますと税制との整合性 に直接ぶつかるので、その辺の検討をどうするかということが厄介な問題として出てく るように思います。 「雇用と年金研究会」は、３号に関しては、その範囲を縮小するという案のたたき台 を出したということになるかと思いますけれども、それだけでは不十分ということであ るならば、他に何ができるかを考えたのですけれども、理論的に全て筋の通った解決策 を求めるのは、ほとんど不可能に近く、なるべく多数の人が納得できる妥協案を考える 以外にないのかなという気持ちでいるのですが、私は、結局アメリカやイギリスのよう な国が、事実上給付調整案をとっていることの意味をもう少しよく考えてみた方がいい のではないかと考えております。給付調整案そのものについてもいろいろコメントがあ りまして、もっともなご意見だとは思うのでありますが、そういう点では非常に論理の 一貫した制度をとっている国であるイギリスやアメリカが、なぜ、あえて負担調整を やっているのかということをもうちょっと検討した方がいいのではないかと思います。 もし３号被保険者に制度の変更を加えるのであれば、それと引き換えということがい いかどうか若干問題ですが、どうしても考慮していただきたいのは、育児、介護期間に 対する保険者期間の割増制度で、これもフランスがやっていると思います。ほかの国が やっていればいいのかというご意見もあると思いますが、それをぜひ併せて考えていた だければいいのではないかと思います。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7616,2003-05-13,第18回,25,宮島部会長,宮島,ありがとうございました。 それでは、議論としては短時間労働者等の問題と第３号被保険者の問題は全く同じも のとは言えない面がありますが、前回からそれをワンセットで議論してきておりますの で、特に区別せずに、さらにご意見なり、前回の説明から今日の意見提出まで含めて質 問があれば、自由にご議論をしていただきたいと思いますが、いかがでございましょう か。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7617,2003-05-13,第18回,26,渡辺委員,渡辺,小島委員にご質問したいのですが、12ページの一番最後、「負担調整案や給付調整案 は、公的年金の役割や機能に照らして、問題が多い」という表現がございますが、給付 調整案は確かにこういった意味で問題が多いというのはわかるのですが、負担調整案が 役割や機能に照らして問題が多いといったことは私は理解できないのです。これをもう 少しご説明いただけますでしょうか。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7618,2003-05-13,第18回,27,小島委員,小島,基礎年金の給付を下げるということについては、現実的な対応も含めて難しく、ま た、問題があると思っています。負担調整の場合、例えば３号を抱えている２号に新た な負担を求めるということを想定した場合、３号がいるいないによって２号の保険料負 担が違ってくるということになります。この案の中には、３号を抱えた２号については 保険料率を高めにして、ほかの３号を抱えていない２号については保険料率を下げると いうような考え方も示されておりますけれども、厚生年金、いわゆる被用者年金グルー プで、そういう二本立ての保険料が妥当なのかどうかという問題であります。 被用者年金というのは、これは先ほども言いましたように、負担については応能負担 という考え方に立っています。それによって、現在のところは一本の保険料率で賄って おりますけれども、それを変えて、２人分の基礎年金が出るからその分負担を高くする という話になります。ということは、それを突き詰めていけば、給付が高い人に対して はもっと高い累進税率のような負担を求めるということにもつながっていきかねませ ん。つまり、今までの被用者年金の定率保険料負担の考え方を大きく変えなければなら ないということになりますので問題があると指摘をしています。そこは社会保険料のあ り方として、もっと詰めた検討が必要ではないかと思います。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7619,2003-05-13,第18回,28,渡辺委員,渡辺,ありがとうございました。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7620,2003-05-13,第18回,29,宮島部会長,宮島,矢野委員、どうぞ。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7621,2003-05-13,第18回,30,矢野委員,矢野,今後の議論を進める上でのデータについてご質問をしたいのですが、よろしいでしょ うか。前回17回部会で出された資料２－１の中で３点ほどございます。規模５人未満の 個人事業所や、規模５人以上でも４業種の個人事業所に勤める人たちのの数についてお 聞きしたいです。パートではなくて、雇用者がどういう数の前提になっているのか。規 模５人未満の個人事業所と、規模５人以上で法定16業種以外の個人事業所に勤めるフル タイム労働者の数についてお聞きしたいです。これが第１の質問。 第２の質問は、10ページの図なんですけれども、これを見ますと、１号被保険者から ２号へ、３号から２号への移動を矢印で示しているわけですね。年収65万円とか、労働 時間20時間ということを一つの区切りにしております。それで、実際に移動する人の数 がどうなっているのか、その分布を知りたいと思います。それぞれの矢印に示された対 象者数を示していただきたい。 ３番目は、この資料の18ページにＡ、Ｂ、Ｃ－１、Ｃ－２、Ｃー３という案が示され ておりますがこれらの案それぞれにつきまして、保険料の負担は金額でいくらになるの か、それが年収に対して何割を占めるのか、さらには厚生年金以外の健康保険や介護保 険の保険料負担はそれぞれどの程度になるか、こういう数字が知りたいです。 以上が前回の資料に関する質問なんですが、もう一つ、年収要件の設定の考え方につ いてお伺いしたいのですけれども、仮に年収65万円以上を適用する場合、所得税が課税 されない者に対しても厚生年金保険料の負担を求めるという事態になります。これまで は税制上の配偶者控除の適用基準やパート本人の非課税限度額年収103万円よりも、第 ３号被保険者の基準130万円というのは高い水準になっています。今度はそれが逆転す ることになります。どういう考え方によってその水準を設定されるのかお聞きしたいで す。もともとからさかのぼって、その辺についての考え方をお聞かせいただきたいと思 います。 以上、４点です。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7622,2003-05-13,第18回,31,宮島部会長,宮島,規模５人未満の個人事業者等に関する話が一つ。２番目は、１号から２号などへ移動 する人の規模についての質問。３番目は保険料の金額もそうですが、医療保険ですとか 介護保険も含めて保険料全体としてはどのようになるかという質問でございました。こ こまでは資料的なことですが、もう一つ、年収の設定の話がございましたけれども、 今、事務局で直ちにお答えできる点と、場合によっては次回に資料を提出するという点 があると思いますが、今、説明できることがありましたらお願いしたいと思います。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7623,2003-05-13,第18回,32,木倉年金課長,木倉年金,ご指摘の任意適用の事業所の労働者数であるとか、あるいは10ページの図の方の移動 していく人の推計の数であるとか、この辺は「雇用と年金研究会」の報告書をお配りを しました前々回の年金部会の資料を見ますと、研究会報告の25ページから載っておりま す。詳しくは、恐れ入りますができれば次回にでも、そのパート適用の数に、400万な り300万なりの見込みの考え方についてもう一度説明をさせていただければと思ってお ります。 それから、３点目でご指摘のありました実際の保険料負担の額がいくらになるかとい うことですが、ここでは年金について、粗く前提を置いて見ております。意見書の中 で、医療や介護の前提を置いての負担の数字をお示しいただいておりますが、それも参 考にしながら、さらに追加して、我々の方からご説明できるものがあれば、また検討さ せていただきたいと思っております。 最後の年収65万円要件のところでございますけれども、これにつきましては、前回も 申し上げましたように最低賃金で20時間働いていらっしゃる方の年収ということで示し ております。一方で、65万については、給与所得に対する課税の最低額ぎりぎりのライ ンであるというご指摘もございます。ですから所得税の負担を求める最低下限に合わせ るという考え方も一方でご指摘のようにあるのだと思います。他方で最低賃金をぎりぎ りの下限と見て、そのレベルまで下げるのかどうかということでご議論をいただければ ということでございます。 他方、130万の年収ラインについて、今は認定をします際に、前年所得につきまして、 市区町村の非課税証明等を出していただくようにお願いをしておるわけでございます。 問題点でご指摘をいたしましたように、今の所得税の課税最低限のラインである103万 を下回る年収要件を設定する場合に、実務上認定が適正にできるかどうかという問題が あり得るということを申し上げているということでございます。賃金65万というところ までラインを下げ得るものかどうかということでご議論をいただきたいということでご ざいます。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7624,2003-05-13,第18回,33,宮島部会長,宮島,次回もし必要がありましたら、できるだけ資料を追加的に説明していただくことにい たします。先ほど、特に年金分割をめぐっていろんな議論ございましたけれども、何人 かの方から、特に３号の部分に限定せず、全体に分割の対象を広げるべきという意見が 出ました。そうなると税制にも議論が広がっていくというご意見があり、確かに税制等 のいろいろな構造問題はいずれ出てくるものだと思います。大澤委員の場合も、分割と いうことになると、それは特に３号に限定されるものではないというご意見だったと思 いますが、もう一つ、遺族年金への波及を非常に重要視されていたような気がいたしま すけれども、この辺は、仮に分割を考えると、遺族年金はそれで必要がなくなるとい う、一挙にいかないかもしれませんがそういう理解でよろしいのですか。分割の問題 が、税制の問題ですとか、遺族年金の問題ですとかいろいろな方面に波及する可能性が あると思うのですが、その辺のところはどうお考えなのでしょうか。何か堀委員ござい ますか。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7625,2003-05-13,第18回,34,堀委員,堀,「女性と年金検討会」でも、年金分割制度を導入すると遺族年金が必要なくなるとい う議論があったのですが、なくならないのではないかという結論になった。いくつか理 由があるのですが、一つは、年金分割によって夫婦同じような年金額になるわけです が、二人でもらっていた年金を一人でもらうようになる場合には、世帯共通経費は節約 できないので、一人の年金水準は夫婦二人分の年金の大体６割とか７割にする必要があ ります。世界各国の遺族年金もそうなっています。夫婦二人でもらっていた年金が半分 になるのでは、遺族の生活水準が下るのではないか。二つは、高齢遺族は半額にすると しても、若齢遺族、要するに母子家庭の年金をどうするのかという問題もあります。 第３に、現在59歳の人について年金分割するとしても過去の分を分割するわけにいき ませんから、１年分だけ分割して、それだけでがまんしろ、遺族年金なしだということ では問題です。給付水準が非常に下るので、将来的には遺族年金の廃止はあり得るかも わかりませんけれども、現在では廃止なかなか難しいのではないかと思います。 それから、年金と税制との関係なのですが、「女性と年金検討会」で税制の専門家も 委員になっていまして、その方に意見を聞きました。その方は、税制と年金とは別で、 年金分割をしても税制に波及するかどうかは別の問題だと、そうおっしゃっていまし た。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7626,2003-05-13,第18回,35,大澤委員,大澤,私は皆様にそれぞれご質問があるので、まずそのご質問を先にさせていただいてか ら、今の遺族年金の問題に言及することにしたいと思います。年金分割というのが意外 と不人気だったというのが私の感想でございますが、井手さん、翁さん、杉山さんから は、あまりにも３号にとって「お得感」が出過ぎてしまう、それから個人単位での公平 ということからして、それを解消できないというご意見があったと思うのですけれど も、２号～２号間、あるいは２号～１号間でも分割するということになっていけば、働 いてより稼いだ分だけ夫婦とも年金も多くなるという意味では就労インセンティブにな るのではないかと思います。２号～３号間だけですと、65万で適用していった場合に、 65万以下に抑えた方が得という話になってしまうので、それは大変問題が多いと思うの ですけれども、もし２号～２号間、２号～１号間も分割ということになれば、どういう ふうに評価されるかということをお聞きしたいと思っております。 それから、堀委員のペーパー、19ページの（ｇ）ところに、いずれにしてもそれは過 渡的な制度となる可能性があり、導入する必要はないとありますが、その下のところで は、もし導入するとしたらということもおっしゃっているので、分割に必ずしも反対で ないというふうに理解いたしますけれども、そもそも第３号被保険者制度というものも 過渡的なものなのではないかと思います。過渡期間というのはやはり相当長期にわたる 可能性もありますので、私自身過渡的な制度ということで提案をしておりますが、年金 権分割は、ですから過渡的な制度であるから導入する必要がないということにはならな いのではないかということがコメントです。 それから、渡辺委員の大変ユニークな着眼点を出していただきました。22ページの、 「配偶者がいながら他に事実婚をしているようなケース」というのは考えてなかったな というふうに思ったわけですけれども、逆に考え直してみますと、これは大変マージナ ルなケースでありまして、そういうマージナルなケースに着目をして全体の制度を考え ることがどこまで合理的なのかというのもございます。同時にこういった配偶者がいな がら他に事実婚をしているようなケースでは、健康保険制度の適用は一体どうなってい るのでしょうか。これは短期保険ですから、すぐ処理しなければ誰もが困るわけですの で、何らかの処理をしているというふうに考えられます。であるとすれば、年金につい ても健康保険の方での処理にならって処理をするということで十分対応できるのではな いかと思われます。併せて現在は離婚は破綻主義になっていますから、このような事実 婚、つまり法律婚と事実婚が併存するようなケースは今後はますますマージナルなもの になるというふうに考えられ、それをもって年金権分割は採用できない制度だという結 論にはならないのではないかというのが私のコメントでございます。 それから、小島委員の連名でお出しになりましたペーパーですけれども、基礎年金は 税方式にということで、従来のご主張を繰り返されております。しかし、それがもし採 用されないとすれば、年金権分割に賛成という主張であると理解してよろしいのでしょ うか。これが小島委員たちのペーパーに対するコメントでございます。 最後に矢野委員、連名でお出しになりました資料の７ページですけれども、これは３ 号被保険者というよりは適用拡大の問題でございます。卸売・小売業、飲食店に集中を していて経営問題にもつながりかねないというご指摘であったわけでございますけれど も、卸売・小売業、飲食店、特に飲食店につきましては国際競争のない分野でございま す。卸売・小売業というのは、もし個人輸入のようなものが増えれば国際競争と言える かもしれませんけれども。ということは、ここでは競争条件を平準化するという意味で 短時間労働者に適用するということは、必ずしも経営問題に直結しないのではないかと 思います。つまりみんなが同じボトムラインの上に立つということで考えれば、製造業 のように、外国の企業と競争するわけではございませんから、それは経営問題にもつな がりかねずとおっしゃいますが、むしろ競争条件を平準化するという意味で採用できる 制度なのではないかと思います。そこのあたりをどうお考えかということをお聞きした いと思っております。 最後言及されました遺族年金の問題でございますけれども、私は遺族年金が不要な層 が増えていくことになればと申し上げているのであり、遺族年金制度を即廃止しろと か、そういうことを言っているわけではございません。また、仮に廃止をするというよ うな大決断が下った場合でありましても、こういうものは経過期間を置いて、例えば40 年とかをかけて解消していくことがどこの国でも行われている通常のことだと思われま す。 二人で暮らしていると、家計費が節約できるものが一人暮らしで半分では大変ではな いかという点ですが、これも年金分割をしない、あるいは遺族年金を不要にするという ことを真っ向から否定する議論ではないのではないかと思います。例えばサービス給付 なり何なりということで面倒見られる部分がありはしないかというふうに思っておりま す。 以上でございます。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7627,2003-05-13,第18回,36,宮島部会長,宮島,ありがとうございました。いくつか質問がありましたので、それぞれ何かご意見があ れば、どうぞ。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7628,2003-05-13,第18回,37,渡辺委員,渡辺,私に対するご指摘、ご質問がございましたので簡単にお答えいたします。確かにおっ しゃるとおり、こういったことが一般的であるからこそ云々というつもりは全くござい ません。あくまでも年金分割は極めて複雑な仕組みではないかという一つの例として出 したので、これが決してすべての理由というつもりではございません。以上です。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7629,2003-05-13,第18回,38,宮島部会長,宮島,あとはいかがですか。堀委員、どうぞ。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7630,2003-05-13,第18回,39,堀委員,堀,資料の19ページの（ｇ）のところで、私は年金分割については問題があるという指摘 をしておりますが、それはこのような大改正をする必要があるのかという意味です。年 金分割というのは、ある意味では主として男性の２階部分の年金まで国が一律に分割す るという、大なたを振るう改正です。そういうことをするよりも、むしろ社会経済の実 態を、女性が男性と同様に働けるように向けていく方が妥当ではないかと思います。 それから、遺族年金については、大澤委員と私は意見が違うというふうに申し上げま す。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7631,2003-05-13,第18回,40,矢野委員,矢野,飲食店についてのご指摘がありましたが、これはほとんど100％内需産業だと思いま す。将来、例えばマクドナルドが世界に進出しているような現象が日本の企業で起これ ば少しは違ってくるかもしれませんが、現在のところほとんど内需産業であって、国際 競争力という点であれば、同種あるいは異種であっても外食産業間の競争はあると思い ますけれど、需要の相手は国内でありますから、一般の自動車とか電機というような産 業とは随分趣の違う分野であると思います。 しかし、競争力における企業間の格差、同じ企業であっても地域格差というのは存在 していると思います。したがいまして、どうしても経営が成り立たなくなれば、同じ企 業の中であっても、店を閉じることもあるでしょうし、あるいは企業として他社に負け て立ち行かなくなるということもあると思います。同種の企業間競争というのは非常に 熾烈なものがあると思いますので、そういう意味では、国内でも競争力という問題を抜 きにしてこの問題を考えることはできないと思っております。真の意味で国際競争力の ある企業はどういう対応しているかということですが、単に労務コストの問題だけでは ありませんけれども、外国に出て行くという対応をしています。中国現象などは今本当 に大きな流れになっているわけであります。アジアの他の地域でもそうです。そういう ところに進出していって対応するという現象が大きな流れになっております。 もちろんコストが安いだけではなしに、そこにマーケットがあるから出かけて行くわ けでありますから、海外進出の要因というのはいくつもあるわけでありますが、少なく ともそこに出かけて行く余地のある産業とそうでない産業の差があるということはご指 摘のとおりです。 しかし同じ内需産業であっても内部の競争関係というのは非常に厳しくなっていると いうことの中で、各個別企業の経営が成り立つかという問題は、やはりそれが内需産業 であっても同じように存在すると思っております。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7632,2003-05-13,第18回,41,岡本委員,岡本,よろしいですか。大澤委員からのご指摘のように、卸売・小売、飲食店は国際競争が ないというのは事実なんです。ただ、逆に国際競争がないということであるがゆえの厳 しさがありまして、特に「現在の経済状況を考えれば」とわざわざ書いているわけなん ですが、今、消費者が求めているのはコスト・パフォーマンスのよさでありまして、コ スト・パフォーマンスをよくするために、今のこういった業種の皆さん方は非常に日々 懸命なコストダウンの努力とサービスの向上に努力をされておられるわけでありまし て、これは本当にその中にいらっしゃる方々であれば、その厳しさはよくわかるのでは ないかと思っております。 そういう意味で、このコストというのは、単にここにありますような年金だけのコス トではなく、健康保険などが、もろもろの費用の負担になっていくということを考えま すと、今でもぎりぎりの採算性の中で経営をしておられる特に中小等々のこういった業 種の方々にとっては、まさに死活問題であると私どもは理解をしておるわけでありま す。だから単に国際競争をしていないということだけの理由をもって、同じようにコス トが上がるのだから競争状況は同じではないかというような理解では、こういう業種を 正しく理解していると言えないのではなかろうかと、私は感じております。 しかもコストが上がればすぐに料金を上げて、コストを値段に転嫁できるのかといえ ば、今の経済状況ではそう簡単に転嫁できないわけでありますから、そのあたりも私は 真剣に受けとめておくことが必要ではないかと考えている次第でございます。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
7633,2003-05-13,第18回,42,井手委員,井手,年金分割を２号～３号だけでなく２号～２号、２号～１号にも適用する場合はどうか という大澤委員のご指摘でございましたけれども、確かに２号～３号に限った場合の み、65万円以下に抑えて、むしろ専業主婦にとどまった方がよいという判断があること はおっしゃるとおりだと思います。２号～２号に関して、年金分割を行うという考え方 も一つあるかと思いますけれども、特に２号～３号強制年金分割のときには「内助の功 」という表現が新聞等でも出ておりましたけれども、家事、育児を専門的に夫婦の役割 分担としてやっていることを評価してという趣旨だったと思いますが、現実の共働きの 夫婦の場合には家事、育児も全部妻がやって、統計調査によれば、共働き夫婦の夫の家 事時間などは非常に少ないという実態の中で、自分で収入を得て、将来の老後に備えて いるというようなことで女性の方が賃金が高い場合等は、少しでも年金を渡したくない というようなことを言っている人もいます。そういうことも考えると選択制という方法 もあればよろしいかと思いますけど、すべて夫婦のものを折半するということにはなら ないのではないかと思います。,https://www.mhlw.go.jp/shingi/2003/05/txt/s0513-1.txt
